close,high,low,open,volume,date
32.17,32.7,32.135,32.27,165441,2022-01-24
31.94,32.22,31.91,32.15,189628,2022-01-24
31.725,31.985,31.59,31.94,181950,2022-01-24
31.905,32.035,31.64,31.725,117161,2022-01-24
31.75,32.0,31.59,31.94,112197,2022-01-24
31.355,31.85,31.325,31.75,167810,2022-01-24
31.0,31.405,30.955,31.37,290985,2022-01-24
31.485,31.57,30.855,30.985,352643,2022-01-24
31.565,31.64,31.255,31.47,186533,2022-01-24
31.74,32.455,31.73,32.0050011,214835,2022-01-25
31.79,31.945,31.56,31.72,213956,2022-01-25
31.445,31.885,31.325,31.76,180519,2022-01-25
31.475,31.585,31.265,31.47,159177,2022-01-25
31.455,31.55,31.285,31.505,127364,2022-01-25
31.575,31.63,31.335,31.435,147714,2022-01-25
31.46,31.68,31.35,31.575,199057,2022-01-25
31.74,31.89,31.33,31.46,253500,2022-01-25
31.915,31.93,31.56,31.745,149204,2022-01-25
32.5,32.785,32.17,32.29,237424,2022-01-26
32.95,33.040001,32.46,32.5,179823,2022-01-26
33.0099983,33.33,32.69,32.925,247220,2022-01-26
33.19,33.265,32.965,33.014999,99190,2022-01-26
33.029999,33.47,32.965,33.225,116946,2022-01-26
32.815,33.11,32.685,33.02,103598,2022-01-26
33.060001,33.060001,32.785,32.825,121186,2022-01-26
32.89,33.07,32.76,33.060001,107368,2022-01-26
32.83,32.965,32.785,32.885,80733,2022-01-26
32.38,32.685,32.27,32.335,130706,2022-01-27
32.67,32.755,32.285,32.405,85038,2022-01-27
32.19,32.715,32.12,32.67,478163,2022-01-27
32.165,32.265,32.07,32.19,107721,2022-01-27
32.34,32.52,32.12,32.16,74392,2022-01-27
32.435,32.435,32.3,32.355,84816,2022-01-27
33.084999,33.125,32.425,32.425,151060,2022-01-27
32.475,33.095001,32.37,33.084999,157723,2022-01-27
32.31,32.5,32.23,32.465,160486,2022-01-27
31.92,32.52,31.865,32.5,197671,2022-01-28
31.97,32.044998,31.865,31.91,130839,2022-01-28
31.87,32.064999,31.855,31.97,140407,2022-01-28
31.745,31.93,31.545,31.875,126501,2022-01-28
31.605,31.755,31.56,31.745,59363,2022-01-28
31.81,31.81,31.55,31.6,112531,2022-01-28
31.53,31.83,31.52,31.81,163032,2022-01-28
31.625,31.66,31.435,31.53,195318,2022-01-28
31.805,31.845,31.58,31.64,93937,2022-01-28
32.17,32.36,31.92,32.33,82522,2022-01-31
32.0,32.195,31.92,32.165,77438,2022-01-31
31.82,32.029999,31.785,32.0050011,77560,2022-01-31
31.865,31.93,31.765,31.82,74042,2022-01-31
31.72,31.885,31.685,31.875,448618,2022-01-31
31.645,31.785,31.5,31.72,109407,2022-01-31
31.655,31.685,31.39,31.625,143920,2022-01-31
31.6,31.86,31.555,31.63,162623,2022-01-31
31.385,31.615,31.38,31.605,107929,2022-01-31
32.07,32.145,31.9,31.965,104009,2022-02-01
31.98,32.125,31.845,32.044998,69716,2022-02-01
32.080002,32.155,31.935,31.975,48937,2022-02-01
32.195,32.26,32.075001,32.075001,46050,2022-02-01
