close,high,low,open,volume,date
30.71,30.77,30.52,30.63,110325,2023-04-03
30.48,30.74,30.44,30.71,207848,2023-04-03
30.43,30.49,30.36,30.49,517876,2023-04-03
30.63,30.76,30.54,30.58,133209,2023-04-04
30.85,30.88,30.64,30.64,108757,2023-04-04
30.88,30.97,30.84,30.84,72395,2023-04-04
30.89,30.97,30.87,30.88,24540,2023-04-04
30.81,30.95,30.79,30.9,46182,2023-04-04
30.82,30.89,30.77,30.8,68566,2023-04-04
30.65,30.83,30.61,30.8,33114,2023-04-04
30.44,30.69,30.41,30.66,148402,2023-04-04
30.36,30.45,30.36,30.45,994088,2023-04-04
29.46,30.45,29.45,30.36,353331,2023-04-05
29.38,29.51,29.35,29.48,233544,2023-04-05
29.43,29.53,29.33,29.39,124190,2023-04-05
29.33,29.44,29.31,29.43,110101,2023-04-05
29.19,29.41,29.18,29.34,114340,2023-04-05
28.95,29.24,28.88,29.2,207652,2023-04-05
28.97,29.02,28.83,28.94,232783,2023-04-05
28.65,28.97,28.58,28.97,197499,2023-04-05
28.7,28.82,28.65,28.65,971248,2023-04-05
28.73,28.88,28.62,28.78,232639,2023-04-06
28.75,28.84,28.64,28.74,85763,2023-04-06
28.75,28.84,28.56,28.75,74907,2023-04-06
28.72,28.84,28.69,28.75,47631,2023-04-06
28.67,28.74,28.62,28.74,83518,2023-04-06
28.63,28.71,28.61,28.66,68768,2023-04-06
28.65,28.65,28.51,28.64,82089,2023-04-06
28.84,29.07,28.65,28.65,372891,2023-04-06
28.78,28.87,28.77,28.84,266538,2023-04-06
29.18,29.37,28.92,29.0,218022,2023-04-11
29.22,29.29,29.11,29.17,86415,2023-04-11
28.97,29.23,28.96,29.22,432650,2023-04-11
28.76,29.0,28.75,28.99,185010,2023-04-11
28.64,28.8,28.6,28.8,99533,2023-04-11
28.72,28.8,28.62,28.62,52147,2023-04-11
28.68,28.78,28.64,28.71,66061,2023-04-11
28.69,28.76,28.63,28.66,66898,2023-04-11
28.73,28.79,28.67,28.7,481739,2023-04-11
29.61,29.77,29.53,29.6,403274,2023-04-12
29.66,29.89,29.6,29.62,248683,2023-04-12
29.83,29.85,29.61,29.66,108502,2023-04-12
30.0,30.08,29.83,29.84,373753,2023-04-12
29.93,30.1,29.91,30.01,214852,2023-04-12
30.08,30.29,29.84,29.94,271223,2023-04-12
29.88,30.11,29.78,30.09,95357,2023-04-12
29.86,29.97,29.82,29.87,91994,2023-04-12
29.83,29.89,29.78,29.86,600572,2023-04-12
29.98,30.15,29.76,29.83,115429,2023-04-13
29.9,30.07,29.82,29.97,103381,2023-04-13
