date,time_shift,window_size,lr_lambda,epochs,dropout,n_res_blocks,PL10_mean_mean,PL10_mean_std,PL10_std_mean,PL10_std_std,0.0030_mean,0.0020_mean,0.0010_mean,0.0009_mean,0.0008_mean,0.0007_mean,0.0006_mean,0.0005_mean,0.0004_mean,0.0003_mean,0.0030_std,0.0020_std,0.0010_std,0.0009_std,0.0008_std,0.0007_std,0.0006_std,0.0005_std,0.0004_std,0.0003_std
2025-11-09,3,92,cos,44,0.3,3,34.04296,0.2965916729182479,0.03677,0.0323374584997371,33.8967,33.7666,34.1048,34.4722,34.3281,34.1199,34.1343,33.9614,34.2144,33.4312,0.023,0.0407,0.0196,0.0111,0.0304,0.0233,0.0211,0.0476,0.0271,0.1238
2025-11-09,2,20,cos,52,0.3,3,34.08798,0.1015716802175796,0.02693,0.0103167662892335,33.9794,34.2996,34.1232,34.126,34.0834,34.0315,34.0361,34.1098,34.154,33.9368,0.0222,0.0314,0.0139,0.0264,0.0359,0.0211,0.0506,0.0239,0.0195,0.0244
2025-11-09,4,61,cos,36,0.3,1,34.52822000000001,0.4283187852263522,0.07696,0.025819682414778,34.8397,35.039,35.1257,34.131,34.6296,34.7337,34.021,34.6563,34.0728,34.0334,0.1019,0.0576,0.1342,0.0958,0.0539,0.0594,0.0603,0.0749,0.0652,0.0664
2025-11-09,5,92,cos,36,0.3,3,33.41389,0.5920933174386915,0.13273,0.0855538693196021,33.9495,34.1444,33.5586,33.4852,32.9203,34.1612,33.1922,33.3552,33.1304,32.2419,0.0545,0.0252,0.081,0.0973,0.1441,0.1443,0.1279,0.3019,0.252,0.0991
2025-11-09,2,61,_cos,40,0.3,2,34.01628000000001,0.3343508297183262,0.0722699999999999,0.0237821618492142,34.3612,34.4437,34.0495,33.9382,33.3032,34.123,33.9392,33.9461,33.7411,34.3176,0.0815,0.0663,0.0519,0.077,0.1233,0.0834,0.0848,0.0614,0.0567,0.0364
2025-11-09,1,61,_cos,40,0.4,2,34.092130000000004,0.2715522992394334,0.0487899999999999,0.0132153488203847,34.5063,34.4195,34.0148,33.8809,33.9621,33.8735,33.8598,33.7669,34.3787,34.2588,0.0596,0.0394,0.0345,0.0579,0.0617,0.0406,0.0459,0.0678,0.0274,0.0531
2025-11-07,1,20,cos,48,0.4,2,34.03229,0.1472125556994226,0.04455,0.0149401955959232,33.8739,33.8561,34.0091,34.1713,34.1532,33.8691,34.1332,33.9426,34.0381,34.2763,0.0277,0.0379,0.0543,0.0614,0.0696,0.0501,0.0495,0.0227,0.0357,0.0366
2025-11-07,2,34,cos,48,0.4,2,34.2016,0.2035,0.0372,0.0246,33.8877,33.817,34.3975,34.107,34.3238,34.2922,34.336,34.2902,34.3743,34.1906,0.0247,0.0238,0.0367,0.0367,0.0163,0.1037,0.0428,0.0314,0.0265,0.0291
2025-11-07,3,34,cos,48,0.4,2,33.7722,0.1476,0.0948,0.0324,33.7382,33.8192,33.5882,33.7218,33.4791,33.945,33.9421,33.8468,33.8459,33.796,0.1201,0.093,0.0927,0.0939,0.0571,0.1116,0.1641,0.0793,0.0508,0.085
2025-11-07,2,34,cos,60,0.3,3,34.1681,0.2525,0.0537,0.0246,33.9715,34.0325,34.5261,34.3204,34.4775,34.1714,34.3446,33.755,33.908,34.1736,0.0252,0.0654,0.0168,0.0602,0.051,0.0906,0.0771,0.0743,0.0499,0.0266
2025-11-07,1,34,cos,64,0.3,3,34.0217,0.1563,0.0294,0.0154,33.8616,33.6905,34.1431,34.08,34.0269,34.1495,34.0671,34.1982,34.089,33.9112,0.0285,0.0686,0.0262,0.0238,0.0237,0.0255,0.0406,0.0228,0.013,0.0208
