datetime;open;high;low;close;volume
2020-09-28;7.27000;7.41400;7.080000;7.41400;5809096
2020-09-25;7.28800;7.30400;6.84800;7.050000;9111530
2020-09-24;7.41000;7.52200;7.19800;7.28800;5356697
2020-09-23;7.5;7.87400;7.37800;7.56400;6265615
2020-09-22;7.89600;7.90000;7.35800;7.44600;7675850
2020-09-21;8.55000;8.55000;7.69200;7.78800;9517234
2020-09-18;9;9;8.60200;8.60200;7748974
2020-09-17;8.59200;9.11000;8.54800;9.054000;5554499
2020-09-16;8.55200;8.80400;8.33000;8.80400;4283097
2020-09-15;8.69600;8.69600;8.50200;8.65800;2373763
2020-09-14;8.63400;8.78000;8.49200;8.67000;3302451
2020-09-11;8.60600;8.64600;8.42200;8.49600;3707285
2020-09-10;8.70000;8.87600;8.53000;8.68200;2913309
2020-09-09;8.77600;8.79600;8.50400;8.71200;4455111
2020-09-08;9.0039997;9.070000;8.75;8.85800;3856706
2020-09-07;9.20000;9.25400;8.83400;9.0080004;4125099
2020-09-04;8.90600;9.58600;8.87000;9.096000;7340039
2020-09-03;8.57000;9.20200;8.55400;8.89600;7648212
2020-09-02;8.64600;8.69000;8.41800;8.55200;3497638
2020-09-01;8.80800;8.80800;8.38800;8.64000;3664674
2020-08-31;9.046000;9.050000;8.72800;8.73000;3829336
2020-08-28;9.022000;9.16000;8.87800;9.0039997;2899061
2020-08-27;8.76000;9.076000;8.67000;8.98400;3567049
2020-08-26;8.78200;8.92600;8.68600;8.76600;2079339
2020-08-25;8.81200;9.076000;8.80000;8.80000;3945107
2020-08-24;8.66000;8.75800;8.48400;8.74400;3028960
2020-08-21;8.49000;8.68400;8.39400;8.62000;3319924
2020-08-20;8.60000;8.60000;8.36400;8.43000;2742887
2020-08-19;8.40800;8.73000;8.36400;8.70000;3362809
2020-08-18;8.28000;8.64800;8.20000;8.39400;2885583
2020-08-17;8.52200;8.55000;8.29600;8.30600;3145803
2020-08-14;8.70000;8.71000;8.40800;8.62600;3336867
2020-08-13;8.85200;9.046000;8.75600;8.78200;3112062
2020-08-12;8.99000;9.22000;8.81600;8.89000;5478526
2020-08-11;8.57600;9.096000;8.55800;9.028000;8286843
2020-08-10;8.018000;8.49800;7.95400;8.48600;4568767
2020-08-07;7.96800;7.99800;7.68000;7.97600;4134936
2020-08-06;8.58000;8.85000;7.84200;8.098000;7127677
2020-08-05;7.77600;8.21600;7.77600;8.19800;7006208
2020-08-04;7.27800;7.72200;7.27600;7.65400;5104400
2020-08-03;7.5;7.53000;7.21600;7.27000;5412874
2020-07-31;7.71000;7.75;7.47200;7.47800;4632829
2020-07-30;7.94200;7.94200;7.63200;7.69400;3737744
2020-07-29;7.92000;8.0019999;7.83000;7.93200;2125713
2020-07-28;7.86000;7.95800;7.71600;7.92000;3159950
2020-07-27;8.15200;8.18000;7.57400;7.81000;7741161
2020-07-24;8.35400;8.39000;8.096000;8.22600;4179540
2020-07-23;8.58400;8.63000;8.36600;8.47400;2414117
2020-07-22;8.63400;8.65800;8.47000;8.59000;2503904
2020-07-21;8.62600;8.74000;8.46200;8.59600;3881800
2020-07-20;8.70000;8.72600;8.41200;8.57400;4217484
2020-07-17;8.94200;8.94800;8.57400;8.73800;3706466
2020-07-16;9.16800;9.20000;8.78600;8.88400;4032700
2020-07-15;8.63000;9.31600;8.58000;9.31600;8423570
2020-07-14;8.65200;8.70000;8.47200;8.49000;4017765
2020-07-13;8.80200;8.89400;8.61400;8.73200;3482372
2020-07-10;8.69200;8.70200;8.43200;8.64800;5154260
2020-07-09;9.048000;9.15000;8.68000;8.72200;4500783
2020-07-08;9.16800;9.16800;8.85800;9.018000;9153679
2020-07-07;9.070000;9.17200;8.98000;9.14600;4944469
2020-07-06;9.090000;9.14400;8.97000;9.084000;4538920
2020-07-03;8.87600;8.95400;8.68800;8.95400;4327696
2020-07-02;8.93600;9.070000;8.79800;8.85000;7336804
2020-07-01;8.78000;8.95200;8.52200;8.83000;4324200
2020-06-30;9.20000;9.23400;8.80400;8.94200;4464205
2020-06-29;8.80000;9.038000;8.59400;9.012000;6991555
2020-06-26;9.88800;9.97600;8.98200;8.99400;10626891
2020-06-25;10.66000;10.80000;9.52400;9.59200;19580702
2020-06-24;9.35000;9.47600;8.88600;8.95800;8354116
2020-06-23;9.90000;10.040000;9.40000;9.40000;8153855
2020-06-22;9.68000;10.020000;9.28000;9.84800;10112345
2020-06-19;10.10000;10.24000;9.90200;10.17000;14632250
2020-06-18;10.060000;10.19500;9.73000;9.86800;11160241
2020-06-17;10.5;11.035000;10.24500;10.28000;10863448
2020-06-16;10.59000;10.84000;10.22500;10.41000;8683969
2020-06-15;10.060000;10.25;9.94000;10.16000;8070856
2020-06-12;10.020000;10.88500;10;10.47000;10914737
2020-06-11;9.92000;10.47000;9.75600;10.15500;16834022
2020-06-10;11.41000;12.050000;10.84000;11.17000;21305406
2020-06-09;12.30000;12.56000;11.13000;11.85000;23114962
2020-06-08;10.86000;12.41000;10.78000;11.85500;23723017
2020-06-05;10.25;11.10500;10.125;10.87000;25585154
2020-06-04;9.77000;10.32000;9.72200;10.30500;16952085
2020-06-03;9.44000;10.18500;9.35000;10.18500;19526149
2020-06-02;9.86000;9.92800;9.34800;9.45400;11609442
2020-05-29;9.40000;9.54000;9.044000;9.14200;14200306
2020-05-28;9.52000;9.80000;9.20200;9.77000;14559179
2020-05-27;9.30000;10.090000;8.73000;9.26800;28033128
2020-05-26;8.95000;9.26400;8.95000;9.23000;18727965
2020-05-25;8.19200;8.69000;8.074000;8.64000;14083195
2020-05-22;8.10800;8.33200;7.93200;8.038000;11829791
2020-05-21;8.35000;8.57800;8.012000;8.13200;13375409
2020-05-20;7.90200;8.0039997;7.68600;7.91800;5622867
2020-05-19;8.20000;8.42000;7.69000;8.022000;8012241
2020-05-18;7.62000;8.15600;7.52200;8.14400;8682363
2020-05-15;7.82000;7.86800;7.40600;7.48800;7899151
2020-05-14;7.40200;7.65000;7.12000;7.62200;6930767
2020-05-13;7.52000;7.59800;7.39200;7.44200;4019711
2020-05-12;7.61200;7.84400;7.52200;7.52200;5594275
2020-05-11;7.89000;7.91200;7.59400;7.63600;6098289
2020-05-08;7.80000;7.88000;7.70000;7.77800;5395265
2020-05-07;7.84000;8.060000;7.48800;7.86000;11561713
2020-05-06;8.18000;8.25;7.82400;7.82400;5746237
2020-05-05;8.11000;8.21800;7.82600;8.13600;6345256
2020-05-04;8.17400;8.24800;7.75200;7.91600;11473836
2020-04-30;8.5;8.73600;7.90800;8.15800;11697482
2020-04-29;8.20400;8.48000;7.83600;8.48000;10453080
2020-04-28;8.41400;8.89200;7.82000;8.096000;17965306
2020-04-27;7.77600;7.93000;7.57000;7.93000;13217225
2020-04-24;7.77000;7.80200;7.020000;7.18000;21281831
2020-04-23;7.95000;7.99400;7.77000;7.80600;7230118
2020-04-22;8.10000;8.10000;7.78600;7.85000;10125224
2020-04-21;8.27000;8.29400;7.99000;7.99000;9236648
2020-04-20;8.42400;8.57000;8.23800;8.36000;7227984
2020-04-17;8.47200;8.47200;8.10000;8.34400;12610731
2020-04-16;8.36200;8.39600;8.042000;8.16000;8876572
2020-04-15;8.87200;8.88000;8.25200;8.28000;10638588
2020-04-14;9.22000;9.22400;8.75200;8.77200;8380472
2020-04-09;8.91200;8.99000;8.67600;8.88000;8946609
2020-04-08;8.79600;8.98400;8.70200;8.71200;8622717
2020-04-07;9.066000;9.39600;8.57400;8.75;14413889
2020-04-06;8.44000;8.66600;8.23200;8.65200;9790477
2020-04-03;8.0019999;8.21600;7.80600;7.95000;9320156
2020-04-02;8.10000;8.17400;7.87200;7.97600;13362804
2020-04-01;8.40000;8.42200;8.0080004;8.0080004;11949318
2020-03-31;8.95000;9.034000;8.48200;8.56200;14047243
2020-03-30;9.23200;9.36800;8.58400;8.68200;10659312
2020-03-27;9.46200;9.51200;9.026000;9.048000;7970187
2020-03-26;9.42800;9.70400;9.14000;9.70400;8766006
2020-03-25;10.39000;10.54000;9.30000;9.58200;12392896
2020-03-24;9.23600;9.90400;8.92000;9.90400;11523980
