datetime;open;high;low;close;volume
2022-02-02;70.16000;70.16000;70.16000;70.16000;0
2022-02-01;70;70.92000;69.70000;70.16000;2186518
2022-01-31;70.62000;70.82000;69.19000;69.93000;2650761
2022-01-28;70.80000;70.80000;68.5;69.87000;3281757
2022-01-27;69.46000;71.78000;69.31000;71.15000;2960980
2022-01-26;69.43000;71.070000;69.17000;70.51000;2931917
2022-01-25;69.20000;69.78000;68.019997;68.82000;3132631
2022-01-24;71.48000;72.56000;67.88000;68.30000;5020505
2022-01-21;72.040001;72.080002;71;71.93000;4055043
2022-01-20;74;74.53000;72.15000;73.20000;3532959
2022-01-19;74.089996;75.46000;73.65000;74.5;3104068
2022-01-18;73.90000;75.21000;72.81000;74.64000;2955090
2022-01-17;75.16000;75.32000;73.48000;74.26000;1926199
2022-01-14;74.72000;75.65000;74.49000;74.79000;2448641
2022-01-13;73.21000;75.60000;73.20000;75.43000;3906108
2022-01-12;73.40000;74.040001;72.44000;73.42000;2946446
2022-01-11;73.54000;73.56000;71.91000;72.54000;2488494
2022-01-10;74.089996;74.48000;72.78000;73.050003;2384947
2022-01-07;75.040001;75.68000;73.37000;73.56000;2755179
2022-01-06;73.93000;76.43000;73.54000;74.91000;3602804
2022-01-05;72.40000;75.050003;72.40000;75;5106683
2022-01-04;69.48000;72.63000;69.41000;72.11000;4936145
2022-01-03;68.5;69.19000;67.89000;68.70000;2654611
2021-12-30;68.24000;68.59000;67.59000;67.59000;2237979
2021-12-29;69.60000;69.75;68.18000;68.23000;2470115
2021-12-28;69.93000;70.54000;69.49000;69.60000;1494742
2021-12-27;69.88000;70.18000;69.5;69.89000;1243078
2021-12-23;70.21000;70.53000;69.94000;70.089996;1620249
2021-12-22;68.70000;69.69000;68.16000;69.69000;1839788
2021-12-21;68.20000;68.80000;67.29000;68.62000;2264407
2021-12-20;66.70000;67.82000;66.48000;67.30000;4786790
2021-12-17;70.39000;70.65000;68.54000;68.75;7737176
2021-12-16;72.52000;72.96000;71.019997;71.74000;3421998
2021-12-15;71.81000;72.40000;71.089996;71.12000;2931838
2021-12-14;73;73.74000;71.47000;71.47000;4265644
2021-12-13;74.72000;76.11000;73.99000;74;4680761
2021-12-10;73.20000;75.31000;71.010002;74.25;7213204
2021-12-09;71.57187;72.74464;70.86488;71.67999;4156361
2021-12-08;72.20399;72.29549;70.058090;71.38057;3998665
2021-12-07;72.26222;72.80286;71.81307;72.20399;4490188
2021-12-06;72.037651;72.32044;70.37415;71.089455;3377348
2021-12-03;72.32876;72.58660;70.63200;71.22253;4076334
2021-12-02;71.089455;72.63651;70.78171;71.62177;4551161
2021-12-01;70.10799;72.39530;69.39269;72.021011;5023572
2021-11-30;67.98704;69.74203;66.89745;69.035042;7133155
2021-11-29;70.091362;70.32425;68.49441;68.86869;4625902
2021-11-26;85;85.58000;82.25;83.16000;6383596
2021-11-25;88.98000;89.20000;87.81000;88.38000;1273094
2021-11-24;90.13000;90.26000;87.59000;88.37000;3062917
2021-11-23;90;91.20000;89.64000;90.040001;2383331
2021-11-22;89.70000;91.46000;89.60000;90.97000;2522957
2021-11-19;91;91.42000;89.059998;89.79000;4505494
2021-11-18;89.90000;91.63000;89.67000;90.90000;3138791
2021-11-17;89.32000;89.89000;88.79000;89.42000;2028790
2021-11-16;89.21000;89.82000;88.54000;89.21000;2375510
2021-11-15;87.77000;89.21000;87.65000;88.83000;1832852
2021-11-12;87.57000;88.059998;87.11000;87.89000;1906236
2021-11-11;87.90000;88.65000;87.22000;87.36000;2856079
2021-11-10;87.49000;88.40000;86.64000;88.089996;2569079
2021-11-09;87.15000;88.26000;87.070000;87.42000;1771670
2021-11-08;87.18000;87.68000;86.58000;87.23000;1463678
2021-11-05;86.36000;88.059998;86.26000;87.59000;2613344
2021-11-04;87.22000;88.24000;83.5;87;4333947
2021-11-03;86.5;87.33000;85.87000;87.029999;2104363
2021-11-02;86.70000;87.27000;85.68000;87.089996;2397959
2021-11-01;86;87.57000;85.80000;86.98000;2310725
2021-10-29;83.24000;85.83000;82.70000;85.74000;4375140
2021-10-28;82.72000;83.85000;82.5;83.85000;1973605
2021-10-27;82.65000;84.099998;82.12000;83.58000;2377338
2021-10-26;83.45000;84;82.79000;83.099998;2158418
2021-10-25;82.050003;83.82000;81.92000;82.89000;2961272
2021-10-22;81.87000;82.91000;81.48000;82.11000;1799034
2021-10-21;80.87000;82.63000;80.65000;81.73000;1947220
2021-10-20;82.11000;82.85000;80.51000;81.95000;2505983
2021-10-19;82.48000;82.96000;81.81000;82.37000;1799960
2021-10-18;83.43000;83.73000;81.45000;81.95000;2627698
2021-10-15;83.23000;83.99000;83.089996;83.65000;2680878
2021-10-14;82.26000;83.26000;81.76000;83.22000;3223210
2021-10-13;82.20000;82.94000;81.26000;81.56000;2722209
2021-10-12;81.52000;82.92000;81.29000;82.31000;2826257
2021-10-11;80.30000;83.12000;79.78000;83;3899366
2021-10-08;79.65000;81.17000;79.61000;80.68000;4371059
2021-10-07;76.59000;78.88000;76.39000;78.64000;3757678
2021-10-06;76.35000;76.71000;75.059998;75.57000;3445633
2021-10-05;77.23000;77.38000;76.099998;77.19000;2155475
2021-10-04;77;77.72000;75.92000;77.010002;2594745
2021-10-01;75.56000;77.94000;74.61000;77.37000;3630569
2021-09-30;77.70000;77.98000;76.72000;76.72000;2919920
2021-09-29;76.80000;77.84000;76.33000;77.40000;2244393
2021-09-28;75.78000;78.089996;75.55000;76.23000;5174189
2021-09-27;75;76.24000;74.81000;75.80000;3431309
2021-09-24;72.90000;74.48000;72.029999;74.28000;2622214
2021-09-23;72.5;73.65000;72.21000;73.019997;2703339
2021-09-22;69.84000;71.98000;69.72000;71.93000;2784575
2021-09-21;69.55000;70.29000;68.94000;69.30000;2601472
2021-09-20;69.93000;70.19000;67.75;69.15000;4644107
2021-09-17;72.85000;73.11000;70.99000;71.36000;6563297
2021-09-16;72.58000;73.45000;71.80000;72.13000;2458052
2021-09-15;71.81000;73.54000;71.73000;72.51000;2625314
2021-09-14;71.81000;73.080002;71.74000;72.52000;3108146
2021-09-13;69.59000;71.95000;69.59000;71.70000;3462549
2021-09-10;68.60000;69.84000;68.60000;69.14000;2266264
2021-09-09;68.080002;69.050003;67.65000;68.5;2637446
2021-09-08;70.040001;70.059998;68.36000;68.71000;3282009
2021-09-07;70.28000;70.97000;70.089996;70.38000;1773366
2021-09-06;70.46000;70.82000;69.55000;70.089996;1995083
2021-09-03;70.71000;71.050003;69.87000;70.17000;1715363
2021-09-02;71.070000;71.54000;70.39000;70.62000;1893350
2021-09-01;72.20000;72.28000;70.81000;71.070000;1624492
2021-08-31;72.059998;72.54000;70.67000;71.42000;2870896
2021-08-30;71.45000;72.080002;71.31000;71.60000;1376885
2021-08-27;70.82000;71.40000;70.43000;71.21000;1222370
2021-08-26;70.64000;70.98000;70.029999;70.70000;1530079
2021-08-25;70.64000;71.5;70.34000;71.12000;1846335
2021-08-24;70.39000;71.28000;70.010002;70.74000;2031805
2021-08-23;71.32000;71.49000;69.87000;69.87000;2203480
2021-08-20;69.27000;69.89000;68.65000;69.89000;2254239
2021-08-19;69.80000;70.45000;69.43000;69.62000;3268840
2021-08-18;72.80000;72.81000;71.57000;71.81000;2447842
2021-08-17;73.74000;73.85000;72.74000;72.76000;2136646
2021-08-16;74.83000;75.050003;73.96000;74.25;1814871
2021-08-13;75.80000;76.20000;75.40000;75.64000;1329631
2021-08-12;74.98000;75.95000;74.70000;75.61000;1932574
2021-08-11;74.49000;75.17000;73.86000;74.88000;1684486
2021-08-10;74.29000;74.73000;73.97000;74.44000;1303289
2021-08-09;74.77000;75.52000;74.29000;74.58000;1874421
2021-08-06;75.31000;77.010002;74.99000;76.029999;1671621
2021-08-05;75.61000;75.92000;74.55000;75.41000;1680167
2021-08-04;76;76.76000;75.65000;75.94000;1838038
2021-08-03;76.5;76.69000;75.13000;75.75;1720917
2021-08-02;76.45000;77.44000;76.070000;76.44000;2269023
2021-07-30;75.26000;75.62000;74.43000;75.28000;2770730
2021-07-29;74.20000;76.23000;73.78000;76.15000;2650757
2021-07-28;74.22000;74.71000;73.79000;74.059998;1630296
2021-07-27;75.059998;75.059998;73.76000;74.010002;2366891
2021-07-26;74.71000;75.57000;73.61000;75.45000;2348512
2021-07-23;72.5;75.85000;72.43000;75.27000;4680515
2021-07-22;71.56000;72.62000;71.38000;71.38000;2431737
2021-07-21;68.27000;71.72000;67.27000;70.84000;3891095
2021-07-20;70;70.61000;69.14000;70.070000;2787089
2021-07-19;71;71.18000;68.70000;69.63000;3383079
2021-07-16;73.86000;73.86000;71.54000;71.72000;2159369
2021-07-15;74.5;74.82000;72.80000;73.18000;2509125
2021-07-14;73.099998;74.14000;72.71000;73.5;1654743
2021-07-13;73.5;73.76000;72.66000;73.010002;1992656
2021-07-12;72.68000;74.089996;71.24000;73.26000;2701598
2021-07-09;71.54000;73.050003;70.94000;72.89000;3270953
2021-07-08;71.81000;71.81000;69.74000;70.73000;3639721
2021-07-07;73.089996;73.59000;71.029999;72.40000;3735118
2021-07-06;75.94000;75.94000;72.63000;72.91000;3071780
2021-07-05;75.89000;76.34000;74.93000;75.91000;1405803
2021-07-02;76.16000;76.85000;76;76.23000;1687141
2021-07-01;75.76000;76.53000;75.38000;75.99000;1828664
2021-06-30;76;76.34000;74.40000;75.30000;2659233
2021-06-29;75.90000;76.91000;75.80000;76.28000;1710337
2021-06-28;77.20000;77.84000;75.73000;75.96000;2405175
2021-06-25;78.82000;78.85000;77.20000;77.77000;2105482
2021-06-24;78.81000;79.54000;78.43000;78.85000;2150118
2021-06-23;79.49000;79.88000;78.28000;78.30000;1754980
2021-06-22;79.46000;79.46000;78.41000;79.33000;1995700
2021-06-21;76.20000;79.44000;75.34000;79.36000;2858685
2021-06-18;79.22000;79.75;76.75;77.080002;5798045
2021-06-17;78.75;80.39000;78.75;79.46000;2385386
2021-06-16;79.48000;79.82000;77.45000;79.040001;3067493
2021-06-15;79.25;79.66000;78.84000;79.22000;1638846
2021-06-14;79.91000;80.17000;78.92000;78.92000;1763771
2021-06-11;78.69000;79.73000;78.35000;79.73000;1774362
2021-06-10;78.49000;79.23000;77.55000;78.17000;1957788
2021-06-09;78.94000;79.38000;77.55000;78.38000;1976181
2021-06-08;80.059998;80.089996;78.24000;78.99000;2029175
2021-06-07;79.40000;80.41000;79.30000;80.14000;1766959
2021-06-04;79.95000;80.29000;78.97000;79.54000;1748751
2021-06-03;79;80.22000;78.54000;79.95000;2745700
2021-06-02;78.26000;78.83000;77.88000;78.73000;1922813
2021-06-01;76.98000;78.42000;76.96000;78.12000;2430591
2021-05-31;76.56000;76.85000;76.050003;76.17000;1229411
2021-05-28;78;78.029999;76.17000;76.64000;2551446
2021-05-27;77.30000;78.42000;76.12000;77.87000;4959133
2021-05-26;77.029999;77.67000;76.23000;77.54000;2419055
2021-05-25;76.30000;77.029999;76.050003;76.64000;2873725
2021-05-21;75.41000;76.059998;75.40000;75.53000;2888163
2021-05-20;73.21000;75.14000;73.050003;75.14000;3334586
2021-05-19;73.99000;74.010002;71.88000;72.46000;2803336
2021-05-18;74.78000;75.59000;74.099998;74.79000;2362561
2021-05-17;74.050003;74.71000;73.55000;74.32000;1501968
2021-05-14;72.82000;74.070000;71.81000;73.95000;2475936
2021-05-13;72.11000;72.72000;70.040001;72.27000;2826751
2021-05-12;72.16000;73.23000;71.62000;72.96000;2521076
2021-05-11;72.85000;73.099998;71.5;72.36000;3281166
2021-05-10;73.66000;73.92000;73.36000;73.76000;2619681
2021-05-07;73.18000;73.53000;72.089996;73.41000;3682025
2021-05-06;72.85000;72.97000;71.36000;72.74000;3245198
2021-05-05;70.58000;72.34000;70.099998;72.11000;6448798
2021-05-04;74.51000;75;72.30000;72.41000;3171423
2021-05-03;74.30000;75.059998;74;74.41000;1600462
2021-04-30;73.62000;74.67000;73.38000;74.050003;2653944
2021-04-29;75.19000;75.24000;72.85000;73.69000;3719166
2021-04-28;75.13000;75.54000;74.68000;75.17000;1905991
2021-04-27;74.71000;74.85000;73.87000;74.61000;2369309
2021-04-26;74.32000;74.73000;73.010002;74.69000;2600679
2021-04-23;74.66000;75.15000;72.65000;73.70000;2783608
2021-04-22;74.029999;74.60000;73.019997;73.78000;2179726
2021-04-21;73.91000;74.42000;72.089996;73.57000;3490295
2021-04-20;76.31000;77.22000;73.57000;73.69000;4231057
2021-04-19;77.95000;77.99000;75.72000;75.96000;3244530
2021-04-16;76.95000;77.96000;76.74000;77.39000;5312406
2021-04-15;75.59000;75.88000;75.11000;75.36000;2455455
2021-04-14;75.75;75.89000;74.95000;75.41000;2411565
2021-04-13;76.60000;76.99000;75.65000;75.65000;2685132
2021-04-12;75.080002;76.94000;75.080002;75.97000;3646819
2021-04-09;74.5;75.5;74.35000;74.91000;2946619
2021-04-08;76.49000;76.65000;73.31000;74.21000;4050450
2021-04-07;75.59000;76.64000;75.41000;75.61000;2703243
2021-04-06;76.32000;76.85000;75.41000;75.48000;2643533
2021-04-01;75;75.65000;74.30000;75.34000;3200949
2021-03-31;75.82000;76.28000;75.63000;76.010002;4571983
2021-03-30;74.30000;75.94000;74.12000;75.94000;4134922
2021-03-29;73.49000;74.019997;72.80000;73.71000;2720886
2021-03-26;73;73.48000;72.61000;73.27000;3131053
2021-03-25;71.099998;72.61000;70.98000;72.5;3418622
2021-03-24;71.90000;71.99000;70.93000;71.65000;4231876
2021-03-23;73.61000;73.70000;71.82000;72.61000;4078744
2021-03-22;73.19000;74.66000;72.74000;74.16000;2713193
2021-03-19;73.099998;74.20000;72.88000;73.78000;9327018
2021-03-18;72;74.33000;71.96000;74.33000;8427343
2021-03-17;71.37000;72.080002;69.93000;71.33000;4973897
2021-03-16;70.20000;71.62000;70.19000;71.26000;4452715
2021-03-15;70.51000;71.55000;69.80000;70.080002;4178439
2021-03-12;70.14000;70.76000;69.93000;70.72000;5918815
2021-03-11;72.80000;73.059998;71.28000;72.089996;2791269
2021-03-10;71.79000;72.64000;71.19000;72.64000;3378523
2021-03-09;72.20000;72.98000;71.059998;71.91000;4276326
2021-03-08;71;72.96000;70.80000;72.49000;4592466
2021-03-05;70.24000;71.059998;69.64000;70.22000;3177671
2021-03-04;69.040001;71.040001;68.86000;70.58000;4244804
2021-03-03;69;70.18000;68.75;69.38000;3658063
2021-03-02;66.5;68.65000;66.43000;68.27000;3818371
2021-03-01;66.90000;67.11000;65.62000;66.61000;2718275
2021-02-26;65.16000;66.71000;64.97000;66.25;3586754
2021-02-25;66.5;67.13000;65.93000;65.93000;2245326
2021-02-24;65.40000;66.33000;65.33000;65.84000;2621928
2021-02-23;66.86000;67.14000;64.77000;65.33000;3501899
2021-02-22;66.71000;66.97000;66.019997;66.80000;2042895
2021-02-19;67.5;67.61000;66.33000;67.22000;3338349
2021-02-18;66.85000;67.60000;65.85000;66.89000;4418798
2021-02-17;65.089996;65.78000;64.63000;65.44000;3321516
2021-02-16;64.80000;65.72000;64.70000;65.010002;1797563
