datetime;open;high;low;close
2024-04-14 03:00:00;5.8565;5.9833;5.7289;5.9455
2024-04-14 02:00:00;5.8348;5.8769;5.742;5.8569
2024-04-14 01:00:00;5.7822;5.97;5.725;5.8284
2024-04-14 00:00:00;5.9661;6.026;5.7487;5.7752
2024-04-13 23:00:00;6.0849;6.2138;5.9159;5.9694
2024-04-13 22:00:00;5.8484;6.27;5.6953;6.1063
2024-04-13 21:00:00;5.8261;5.9828;5.4651;5.8456
2024-04-13 20:00:00;5.9027;6.2171;5.2784;5.8261
2024-04-13 19:00:00;6.353;6.353;5.65;5.9154
2024-04-13 18:00:00;6.4518;6.5302;6.247;6.358
2024-04-13 17:00:00;6.7175;6.7848;6.2436;6.4455
2024-04-13 16:00:00;6.6307;6.7317;6.566;6.7182
2024-04-13 15:00:00;6.6913;6.7597;6.5979;6.6361
2024-04-13 14:00:00;6.7452;6.7905;6.6265;6.6919
2024-04-13 13:00:00;6.8576;6.9548;6.738;6.7457
2024-04-13 12:00:00;6.6092;6.8939;6.592;6.8652
2024-04-13 11:00:00;6.6664;6.7904;6.5776;6.6246
2024-04-13 10:00:00;6.6117;6.8785;6.5688;6.6663
2024-04-13 09:00:00;6.7024;6.7899;6.572;6.6161
2024-04-13 08:00:00;6.8346;6.8355;6.6571;6.6987
2024-04-13 07:00:00;6.84;6.88;6.78;6.84
2024-04-13 06:00:00;6.8452;6.9069;6.8;6.8394
2024-04-13 05:00:00;6.8274;7.05;6.8;6.867
2024-04-13 04:00:00;6.8416;6.912;6.6608;6.8125
2024-04-13 03:00:00;6.4211;7.05;6.4018;6.8417
2024-04-13 02:00:00;6.2769;6.4675;6.247;6.4172
2024-04-13 01:00:00;6.4939;6.5248;6.1698;6.2812
2024-04-13 00:00:00;6.7177;6.719;6.4309;6.4911
2024-04-12 23:00:00;6.5501;6.7367;6.4798;6.6876
2024-04-12 22:00:00;6.5855;6.6227;6.4883;6.5501
2024-04-12 21:00:00;6.4763;6.7037;6.3887;6.5833
2024-04-12 20:00:00;6.3653;6.7286;6.2979;6.4759
