datetime;open;high;low;close;volume
2020-09-28;147;150.5;146.39999;150.5;55020
2020-09-25;147.5;148;142.80000;144.10001;70233
2020-09-24;143.5;148.10001;143;146.80000;75932
2020-09-23;146.30000;149;144.80000;144.80000;44720
2020-09-22;145;146.70000;143.60001;145;50301
2020-09-21;150.80000;151.5;143.5;143.5;70778
2020-09-18;156.10001;156.70000;151;151;110480
2020-09-17;154.20000;157.10001;153.20000;156;75525
2020-09-16;157.80000;158.70000;155.70000;157.39999;33456
2020-09-15;158.39999;159.89999;157.10001;157.30000;48405
2020-09-14;161.60001;161.60001;157.30000;157.80000;31653
2020-09-11;160.80000;162.39999;158.80000;159.10001;48245
2020-09-10;161.80000;163.39999;160.80000;160.80000;46515
2020-09-09;157.60001;162.5;156.60001;161.89999;73409
2020-09-08;158.30000;159.20000;156;158.39999;49640
2020-09-07;153.30000;157.89999;153;157.30000;47772
2020-09-04;149.80000;154.39999;149.10001;151.20000;53652
2020-09-03;150.5;153.80000;149.80000;150.20000;88818
2020-09-02;149.30000;150.5;148.5;149.39999;43393
2020-09-01;152.10001;152.80000;147.10001;148.80000;53442
2020-08-31;152.30000;154.10001;150.20000;150.20000;49809
2020-08-28;153.39999;154.60001;151.5;152.20000;41609
2020-08-27;152.5;155.10001;151.60001;152.80000;66484
2020-08-26;149.70000;152.30000;148.10001;152.30000;37416
2020-08-25;150.60001;152;149;149.89999;44091
2020-08-24;148;150.20000;147;149.89999;36876
2020-08-21;149.5;150.20000;145.89999;147.39999;27990
2020-08-20;149.60001;149.60001;147.60001;148.39999;32005
2020-08-19;150.39999;151.5;149.30000;151.5;28549
2020-08-18;150;152.30000;149.39999;150.5;26417
2020-08-17;150.30000;152.10001;150.30000;151.10001;16958
2020-08-14;150;150.80000;148.5;150.60001;18991
2020-08-13;152.39999;153.39999;150.20000;150.70000;33753
2020-08-12;150.89999;154.20000;149.39999;153;51358
2020-08-11;147.39999;151.80000;146.80000;151.10001;75239
2020-08-10;145.20000;145.80000;143.20000;144.89999;33932
2020-08-07;145.30000;145.30000;142.5;143.80000;55867
2020-08-06;145.60001;148.80000;144.5;145.5;50133
2020-08-05;144.80000;146;144;145.10001;46372
2020-08-04;140.39999;144.70000;139.80000;144.20000;100898
2020-08-03;134;140.20000;134;138.80000;66592
2020-07-31;138;140.20000;132.70000;132.70000;91147
2020-07-30;145;145;135.5;138.39999;102035
2020-07-29;147.89999;148.5;145;145.20000;37411
2020-07-28;149.30000;150.5;147.89999;149;30672
2020-07-27;150.60001;151.30000;148.89999;149.39999;39842
2020-07-24;151.30000;151.30000;148.70000;150;40067
2020-07-23;150.30000;154.5;150.30000;151.80000;47610
2020-07-22;151.20000;151.39999;148.60001;150.10001;28038
2020-07-21;149.89999;153.70000;149.80000;151;57673
2020-07-20;148.5;149.5;145.60001;148.60001;43615
2020-07-17;151.80000;152.5;147.60001;148.5;92581
2020-07-16;147.60001;150.30000;147.5;150;29739
2020-07-15;147.89999;150.89999;147.5;148.60001;51220
2020-07-14;144.60001;146.5;143.70000;145.89999;49615
2020-07-13;149;150.5;145.20000;145.70000;38362
2020-07-10;142.39999;147.39999;142;147.30000;52321
2020-07-09;144.5;146;142.70000;143.39999;40813
2020-07-08;144.5;145.70000;143.30000;144;41270
2020-07-07;145.89999;147.20000;144.60001;144.60001;65397
2020-07-06;148.89999;150.60001;145.80000;147;30042
2020-07-03;146.70000;148.30000;144.39999;145.20000;18565
2020-07-02;144.20000;148.30000;144;146.39999;42278
2020-07-01;144.10001;144.89999;141;143;39103
2020-06-30;145.10001;146;141.89999;143.30000;78862
2020-06-29;141.39999;145.10001;141.10001;143.80000;32016
2020-06-26;145;145.80000;142.10001;142.30000;37296
2020-06-25;140.39999;144.5;139.20000;143.60001;32948
2020-06-24;145.70000;148.10001;140.89999;140.89999;50939
2020-06-23;144.20000;148.39999;143.39999;145.70000;45811
2020-06-22;141.5;144;140.39999;142.80000;36788
2020-06-19;144.60001;145.5;142.60001;142.70000;85808
2020-06-18;145.80000;147.70000;142.60001;143.89999;55806
2020-06-17;148;149.10001;145.10001;146.89999;48993
2020-06-16;151.80000;152;145.5;147.5;62701
2020-06-15;142.89999;147.39999;142;145.89999;50358
2020-06-12;144;149.70000;142.80000;146.39999;71425
2020-06-11;151.20000;151.20000;144.39999;144.39999;105042
2020-06-10;157.89999;158.89999;153.10001;155.30000;77146
2020-06-09;158.70000;160.5;152.30000;156.39999;93787
2020-06-08;155.80000;163;155.10001;159.20000;93352
2020-06-05;153.70000;158.10001;153.70000;156.70000;89695
2020-06-04;149;153;147.60001;152.20000;86439
2020-06-03;149;152.20000;147.70000;152;88098
2020-06-02;146.70000;149.80000;146;147.5;110135
2020-05-29;146.10001;146.30000;141.80000;142.39999;119887
2020-05-28;154.20000;154.89999;146.89999;148.70000;77757
2020-05-27;145.60001;154.70000;145.20000;152.30000;135602
2020-05-26;140.89999;146.39999;140.20000;145;74702
2020-05-25;141.80000;142.30000;138.20000;140.10001;34622
2020-05-22;136.70000;142.30000;135.89999;139.89999;48750
2020-05-21;140.10001;141.80000;138.20000;139.70000;27451
2020-05-20;137.89999;141.5;135.5;141.10001;68318
2020-05-19;139;140.60001;135.70000;138.39999;92146
2020-05-18;133.39999;139;133.39999;138.20000;75283
2020-05-15;129.20000;132.5;128.10001;130.39999;61537
2020-05-14;128.39999;130.39999;123.90000;128;87195
2020-05-13;135.5;135.89999;130.10001;130.5;89183
2020-05-12;137;138.60001;136.30000;137.5;51401
2020-05-11;140;140.5;136.10001;138.39999;53447
2020-05-08;136.30000;139;134.5;139;63776
2020-05-07;135.10001;137.39999;133.39999;135.30000;81041
2020-05-06;136;136.60001;133.30000;134.70000;80041
2020-05-05;130.10001;135.89999;130.10001;135.5;64202
2020-05-04;133.80000;134.39999;128.20000;128.20000;131797
2020-04-30;147.30000;148.89999;136.10001;136.30000;146079
2020-04-29;137.5;147.60001;137.10001;146.30000;106958
2020-04-28;132.80000;139;132.39999;137.30000;73248
2020-04-27;132.80000;133.30000;130.80000;132.89999;52547
2020-04-24;129;131;127.20000;128;34516
2020-04-23;129.89999;132.39999;128.39999;131.30000;43386
2020-04-22;130;130.20000;128.10001;128.70000;46835
2020-04-21;134.30000;134.39999;128.39999;128.39999;90343
2020-04-20;136;137.80000;133.80000;137.5;124269
2020-04-17;135;136.30000;132.5;134.5;111764
2020-04-16;131.5;134.39999;129.5;131.60001;108644
2020-04-15;134.60001;136.20000;129;129;110186
2020-04-14;138.39999;140.10001;133.70000;134.20000;105673
2020-04-09;130;135.39999;129.80000;133;108874
